Context;Reference;ar
Report;Warning: The maximum number of records is reached;تحذير: تم الوصول إلى الحد الأقصى لعدد السجلات
Report;Yes;نعم
Web;Add;إضافة
Web;All;الكل
Web;Auto-Refresh (seconds);التحديث التلقائي (بالثواني)
Web;Back to login with user name and password;العودة إلى تسجيل الدخول باسم المستخدم وكلمة المرور
Web;BIN;سلة المحذوفات
Web;Cancel;إلغاء
Web;Change password;تغيير كلمة المرور
Web;Change password;تغيير كلمة المرور
Web;Change your password;تغيير كلمة المرور الخاصة بك
Web;Chart sort;فرز الرسم البياني
Web;Close;إغلاق
Web;Color;اللون
Web;Confirm your new password;تأكيد كلمة المرور الجديدة
Web;Copy;نسخ
Web;Create in folder;إنشاء في المجلد
Web;Create new folder;إنشاء مجلد جديد
Web;CSS Format;تنسيق CSS
Web;Culture;الثقافة
Web;Current password;كلمة المرور الحالية
Web;Cut;قص
Web;Data source connections;اتصالات مصدر البيانات
Web;Default view;العرض الافتراضي
Web;Delete;حذف
Web;Delete folder;حذف المجلد
Web;Description;الوصف
Web;Device;الجهاز
Web;Disconnect;قطع الاتصال
Web;Display options;خيارات العرض
Web;Edit;تحرير
Web;Edit entry;تحرير الإدخال
Web;Edition;الإصدار
Web;Email;البريد الإلكتروني
Web;Enter password;إدخال كلمة المرور
Web;Enter user name;إدخال اسم المستخدم
Web;Enter your current password;أدخل كلمة المرور الحالية
Web;Enter your new file name;أدخل اسم الملف الجديد
Web;Enter your new password;أدخل كلمة المرور الجديدة
Web;Enter your security code;أدخل رمز الأمان الخاص بك
Web;Enter your user identifier or email;أدخل معرّف المستخدم أو البريد الإلكتروني
Web;Error;خطأ
Web;Error: only files (and not reports) can be copied to this folder.;خطأ: يمكن نسخ الملفات فقط (وليس التقارير) إلى هذا المجلد.
Web;Error: the destination file name contains invalid characters.;خطأ: يحتوي اسم الملف الوجهة على أحرف غير صالحة.
Web;Error: the destination folder name contains invalid characters.;خطأ: يحتوي اسم المجلد الوجهة على أحرف غير صالحة.
Web;Export;تصدير
Web;Folders;المجلدات
Web;Forget your password ?;هل نسيت كلمة المرور؟
Web;Groups;المجموعات
Web;Groups;المجموعات
Web;Height;الارتفاع
Web;Icon;الأيقونة
Web;Information;معلومات
Web;Invalid security code;رمز أمان غير صالح
Web;Invalid user name or password;اسم مستخدم أو كلمة مرور غير صالحة
Web;Is dynamic;ديناميكي
Web;Last execution at;آخر تنفيذ في
Web;Licensed to;مرخّص لـ
Web;Login;تسجيل الدخول
Web;Logins;عمليات تسجيل الدخول
Web;Logout;تسجيل الخروج
Web;Logout the user;تسجيل خروج المستخدم
Web;Manage Folders;إدارة المجلدات
Web;Name;الاسم
Web;New;جديد
Web;New folder name;اسم المجلد الجديد
Web;New folder path;مسار المجلد الجديد
Web;New password;كلمة المرور الجديدة
Web;None;لا شيء
Web;OK;OK
Web;On startup;عند بدء التشغيل
Web;Optional chart title;عنوان الرسم البياني اختياري
Web;Optional menu name;اسم القائمة اختياري
Web;Output;المخرجات
Web;Password;كلمة المرور
Web;Paste;لصق
Web;PDF Conversion delay;مهلة تحويل PDF
Web;Personal;شخصي
Web;Phone;الهاتف
Web;Please wait;يرجى الانتظار
Web;Profile;الملف الشخصي
Web;Profile information;معلومات الملف الشخصي
Web;Refresh;تحديث
Web;Re-init your password;إعادة تهيئة كلمة المرور الخاصة بك
Web;Reload and execute;إعادة التحميل والتنفيذ
Web;Rename;إعادة تسمية
Web;Rename or move folder;إعادة تسمية المجلد أو نقله
Web;Rename, move or copy;إعادة تسمية أو نقل أو نسخ
Web;Report;التقرير
Web;Report execution mode;وضع تنفيذ التقرير
Web;Report name;اسم التقرير
Web;Report title;عنوان التقرير
Web;Report title if different from report name;عنوان التقرير إذا كان مختلفًا عن اسم التقرير
Web;Reports;التقارير
Web;Reports menu;قائمة التقارير
Web;Repository connection;اتصال المستودع
Web;Reset password;إعادة تعيين كلمة المرور
Web;Reset your password;إعادة تعيين كلمة المرور الخاصة بك
Web;Save;حفظ
Web;Search;بحث
Web;Security code;رمز الأمان
Web;Startup report name;اسم تقرير بدء التشغيل
Web;The favorite has been updated;تم تحديث المفضلة
Web;Two-Factor Authentication;المصادقة الثنائية
Web;Type;النوع
Web;Type a new password;اكتب كلمة مرور جديدة
Web;Upload;تحميل
Web;User groups;مجموعات المستخدمين
Web;User identifier or email;معرّف المستخدم أو البريد الإلكتروني
Web;User name;اسم المستخدم
Web;Users;المستخدمون
Web;Width;العرض
WebJS;# of % selected;# من % محدد
WebJS;Actions;الإجراءات
WebJS;All selected;الكل محدد
WebJS;Allow only execution in a new window;السماح بالتنفيذ فقط في نافذة جديدة
WebJS;Cancel;إلغاء
WebJS;Contains;يحتوي على
WebJS;Contains all;يحتوي على الكل
WebJS;Contains any;يحتوي على أي
WebJS;Copy;نسخ
WebJS;Copy of;نسخة من
WebJS;Copy to;نسخ إلى
WebJS;Default;افتراضي
WebJS;Default culture;الثقافة الافتراضية
WebJS;Default mode;الوضع الافتراضي
WebJS;Default report connection;اتصال التقرير الافتراضي
WebJS;Default repository connection;اتصال المستودع الافتراضي
WebJS;Default startup;بدء التشغيل الافتراضي
WebJS;Do not execute report;عدم تنفيذ التقرير
WebJS;Do you really want to delete the reports or files selected ?;هل تريد بالفعل حذف التقارير أو الملفات المحددة؟
WebJS;Does not contain;لا يحتوي على
WebJS;Does not contain all;لا يحتوي على الكل
WebJS;Does not contain any;لا يحتوي على أي
WebJS;Download report;تنزيل التقرير
WebJS;Edit report;تحرير التقرير
WebJS;Edit reports / Manage files;تحرير التقارير / إدارة الملفات
WebJS;Edit schedules / View files;تحرير الجداول الزمنية / عرض الملفات
WebJS;Ends with;ينتهي بـ
WebJS;Equals;يساوي
WebJS;Error;خطأ
WebJS;Execute report in a new window;تنفيذ التقرير في نافذة جديدة
WebJS;Execute report in the current window;تنفيذ التقرير في النافذة الحالية
WebJS;Execute reports / View files;تنفيذ التقارير / عرض الملفات
WebJS;Execute reports and outputs / View files;تنفيذ التقارير والمخرجات / عرض الملفات
WebJS;Execute the last report;تنفيذ آخر تقرير
WebJS;Execute the report;تنفيذ التقرير
WebJS;Favorites;المفضلة
WebJS;Folder;المجلد
WebJS;Is between;يقع بين
WebJS;Is different from;يختلف عن
WebJS;Is empty;خالٍ
WebJS;Is greater or equal than;أكبر من أو يساوي
WebJS;Is greater than;أكبر من
WebJS;Is not between;ليس بين
WebJS;Is not empty;ليس خاليًا
WebJS;Is not Null;ليس Null
WebJS;Is Null;هو Null
WebJS;Is smaller or equal than;أصغر من أو يساوي
WebJS;Is smaller than;أصغر من
WebJS;Last modification;آخر تعديل
WebJS;Mark as favorite;وضع علامة كمفضّل
WebJS;Model;النموذج
WebJS;No;لا
WebJS;No personal folder;لا يوجد مجلد شخصي
WebJS;No right;لا توجد صلاحية
WebJS;None;لا شيء
WebJS;Not sorted;غير مفروز
WebJS;OK;OK
WebJS;Options;الخيارات
WebJS;Output;المخرجات
WebJS;Personal folder for files only;مجلد شخصي للملفات فقط
WebJS;Personal folder for reports and files;مجلد شخصي للتقارير والملفات
WebJS;Please wait;يرجى الانتظار
WebJS;Processing;جارٍ المعالجة
WebJS;Profile;الملف الشخصي
WebJS;Recents;الأخيرة
WebJS;Report;التقرير
WebJS;report(s) or file(s) cut in the clipboard;تقرير (تقارير) أو ملف (ملفات) تم قصها في الحافظة
WebJS;report(s) or file(s) have been deleted;تم حذف تقرير (تقارير) أو ملف (ملفات)
WebJS;report(s) or file(s) processed;تمت معالجة تقرير (تقارير) أو ملف (ملفات)
WebJS;report(s) or files(s) copied in the clipboard;تقرير (تقارير) أو ملف (ملفات) تم نسخها في الحافظة
WebJS;Reports;التقارير
WebJS;Schedule;جدولة
WebJS;Server Version;إصدار الخادم
WebJS;Show _MENU_ reports;إظهار _MENU_ تقارير
WebJS;Starts with;يبدأ بـ
WebJS;The folder has been created;تم إنشاء المجلد
WebJS;The folder has been deleted;تم حذف المجلد
WebJS;The folder has been renamed;تمت إعادة تسمية المجلد
WebJS;The folder has been updated;تم تحديث المجلد
WebJS;The report or file has been renamed;تمت إعادة تسمية التقرير أو الملف
WebJS;Toggle Report or Folders view;تبديل عرض التقارير أو المجلدات
WebJS;Unexpected error on server;خطأ غير متوقع في الخادم
WebJS;View;عرض
WebJS;View Folders;عرض المجلدات
WebJS;View Report;عرض التقرير
WebJS;View reports;عرض التقارير
WebJS;Views and outputs;العروض والمخرجات
WebJS;Warning;تحذير
WebJS;Web Interface Version;إصدار واجهة الويب
WebJS;Yes;نعم
Web;Select agent;اختيار المساعد
Web;Mark as favorite;وضع علامة كمفضّل
Web;Favorites;المفضلة
Web;No favorites yet;لا توجد مفضلات بعد
Web;Recent;الأخيرة
Web;No recent items;لا توجد عناصر حديثة
Web;New conversation;محادثة جديدة
Web;Sample prompts;نماذج المطالبات
Web;Sample Prompts;نماذج المطالبات
Web;No sample prompts defined;لا توجد نماذج مطالبات معرّفة
Web;AI Agent;مساعد الذكاء الاصطناعي
Web;Favorites & Recent;المفضلة والأخيرة
Web;Hide panel;إخفاء اللوحة
Web;Ask the AI agent…;اسأل مساعد الذكاء الاصطناعي…
Web;Confirm Deletion;تأكيد الحذف
Web;This action is irreversible. Are you sure you want to delete this item?;هذا الإجراء لا رجعة فيه. هل أنت متأكد أنك تريد حذف هذا العنصر؟
Web;Data Source;مصدر البيانات
Web;Report Agents;مساعدو التقارير
Web;Select Tables or Views;اختيار الجداول أو العروض
Web;Filter tables...;تصفية الجداول...
Web;Select All;تحديد الكل
Web;Deselect All;إلغاء تحديد الكل
Web;tables selected;جدول محدد
Web;Prompt Shortcuts;اختصارات المطالبات
Web;How can Seal AI help you today ?;كيف يمكن لـ Seal AI مساعدتك اليوم؟
Web;No current items available;لا توجد عناصر حالية متاحة
Web;Current items will appear here when saved;ستظهر العناصر الحالية هنا عند حفظها
Web;Drafts;المسودات
Web;No draft items available;لا توجد عناصر مسودة متاحة
Web;Upload files or create new items with the agent to see them here;قم بتحميل الملفات أو إنشاء عناصر جديدة باستخدام المساعد لعرضها هنا
Web;Item Details;تفاصيل العنصر
Web;Loading detail. Please wait...;جارٍ تحميل التفاصيل. يرجى الانتظار...
Web;Select a row from the table to view its details;اختر صفًا من الجدول لعرض تفاصيله
Web;Check;تحقّق
Web;Download;تنزيل
Web;Reports Agent;مساعد التقارير
Web;Connection type;نوع الاتصال
Web;Connection string;سلسلة الاتصال
Web;Tables or views;الجداول أو العروض
Web;Report Agent;مساعد التقرير
Web;AI Provider;مزوّد الذكاء الاصطناعي
Web;AI model;نموذج الذكاء الاصطناعي
Web;AI model name (overrides default));اسم نموذج الذكاء الاصطناعي (يتجاوز الافتراضي))
Web;Temperature;درجة الحرارة
Web;Model temperature;درجة حرارة النموذج
Web;System prompt;مطالبة النظام
Web;Optional sytem prompt for the agent;مطالبة نظام اختيارية للمساعد
Web;User prompt;مطالبة المستخدم
Web;Default user prompts (if empty default values configured are taken);مطالبات المستخدم الافتراضية (إذا كانت فارغة تُستخدم القيم الافتراضية المعدّة)
Web;User Groups allowed (No selection means no restriction);مجموعات المستخدمين المسموح بها (عدم التحديد يعني عدم وجود قيود)
Web;Scan options;خيارات الفحص
Web;When to scan;متى يتم الفحص
Web;Cache duration (days);مدة التخزين المؤقت (بالأيام)
Web;Cache duration (days) for scanned data;مدة التخزين المؤقت (بالأيام) للبيانات الممسوحة
Web;Tables to scan (no selection means all tables);الجداول المراد فحصها (عدم التحديد يعني كل الجداول)
Web;Records to scan;السجلات المراد فحصها
Web;Number of records used for scan;عدد السجلات المستخدمة للفحص
Web;Scan Data Now;فحص البيانات الآن
Web;Execute;تنفيذ
Web;Elements:;العناصر:
Web;Restrictions:;القيود:
WebJS;Hide AI Agent;إخفاء مساعد الذكاء الاصطناعي
WebJS;AI Agent;مساعد الذكاء الاصطناعي
WebJS;Running;قيد التشغيل
WebJS;Request cancelled.;تم إلغاء الطلب.
WebJS;Remove from favorites;إزالة من المفضلة
WebJS;No sample prompts defined;لا توجد نماذج مطالبات معرّفة
WebJS;Rename;إعادة تسمية
WebJS;Delete;حذف
WebJS;No favorites yet;لا توجد مفضلات بعد
WebJS;No recent items;لا توجد عناصر حديثة
Web;Configuration;الإعدادات
Web;Rights;الصلاحيات
Web;Agents;المساعدون
Web;Folder;المجلد
Web;Drag to resize;اسحب لتغيير الحجم
WebJS;Copy and paste;نسخ ولصق
WebJS;Copy, paste and send;نسخ ولصق وإرسال
Web;Empty recycle bin;إفراغ سلة المحذوفات
WebJS;Do you really want to permanently delete all items in the recycle bin ?;هل تريد حقًا حذف جميع العناصر الموجودة في سلة المحذوفات نهائيًا؟
WebJS;The recycle bin has been emptied;تم إفراغ سلة المحذوفات
WebJS;Task: only the tasks are executed;مهمة: يتم تنفيذ المهام فقط
WebJS;This report has a schedule;هذا التقرير لديه جدولة
Report;Show/Hide Guide;إظهار/إخفاء الدليل
Report;Show Restrictions;إظهار القيود
Report;Hide Restrictions;إخفاء القيود
Report;Show Guide;إظهار الدليل
Report;Hide Guide;إخفاء الدليل
